synthetic_id,source_participant_id,synthetic_name,role,buddy_preferences,location,summary,buddy_preference,skills,company,career_stage
3r7geJiKJwNMPZKkWqt2rU,PLRolV,Aria Khan,Student,Would like someone with startup experience or ML infrastructure background.,"Berkeley / San Francisco, USA",Undergraduate studying EECS and business; active in campus ML groups and interested in startups and VC. Internship experience across startups and larger tech firms.,No,"['ML Systems', 'ML Infrastructure', 'Software Engineering']",UC Berkeley Student,Undergrad / New Grad
4CZUotcNNxqgeJX2svpocH,QOZq7l,Marcus Long,ML Engineer,Looks for teammates who are deep experts either technically or in soft skills like product and marketing.,"Levittown, NY, USA",Curious engineer who recently worked at the intersection of generative AI and distributed systems; experienced in leadership roles and strong communication.,No,"['Git', 'Docker', 'Kubernetes', 'Python', 'ML/DL', 'C/C++', 'MLOps']",TensorNet Foundation,10+ Years of Experience
XLvFmdcFXPEbEsSL2z2DKz,Qp91WX,Tudor Ionescu,Founder,Interested in connecting with active ML practitioners and open-source contributors.,"London, UK",Engineer and serial entrepreneur with an exit; built platforms for international billing and now writes and speaks about practical ML development.,My Buddy should be in a similar role as me,"['MLOps', 'DevOps', 'GPU Infrastructure', 'ML Development Lifecycle', 'Startup Growth']",EnvergeAI Labs,10+ Years of Experience
AX3QNwvoe7J8RLi9mDSeVM,5p7JBZ,Priya Desai,Data Scientist,Wants to learn MLOps and multi-agent frameworks; curious about Databricks and cloud AI architecture.,"Newark, NJ, USA",Aspiring ML professional with strong academic record in business intelligence; background in systems engineering and machine learning with a focus on moving models toward production.,No,"['Data Science', 'Predictive Modeling', 'Data Engineering', 'Generative AI', 'SQL', 'Python']",Cantonica Analytics,1 - 3 Years of Experience
irBmTD3XBgKLHXkBtCBtKF,ENDLdX,Evan Liu,Data Scientist,"Looking for mentors with MLOps or cloud deployment experience, ideally someone who can advise on scaling pipelines and perhaps hiring.","Seattle, WA, USA","Worked on ML-driven protein design and bioinformatics; keen to build robust, automated ML pipelines and production systems in biotech.",My Buddy should be in a similar role as me,"['Cloud (GCP/AWS)', 'Deep Learning', 'Bioinformatics', 'TensorFlow', 'PyTorch', 'Docker', 'Airflow']",CartoBio,1 - 3 Years of Experience
AcpU6nMw4JUa7L87NLPGqE,zvAoaZ,Keelan Jacobs,ML Engineer,"Interested in AWS, data engineering and MLOps topics.","Cape Town, South Africa","Senior ML engineer and community organizer; enjoys platform-building for data lakes, MLOps platforms and cloud infrastructure.",No,"['MLOps', 'Cloud Engineering', 'AWS', 'Azure', 'Data Engineering']",Kingmakers AI,3 - 5 Years of Experience
3poye8RsKLREpRGKrsgqDc,xLrlNG,Claire Dubois,Developer Advocate,No specific preferences — open to surprises and new collaborations.,"Lyon, France",Transitioned from ETL engineering to data science to MLOps advocacy. OSS maintainer and author with a focus on community education and tooling.,No,"['Experiment Tracking', 'Developer Advocacy', 'Streamlit', 'MLOps Education', 'Open Source']",NeptuneWorks,5 - 10 Years of Experience
o3LhzUoE7y4TDXU4Lpjd3R,GbKzro,Benjamin Rhodes,Management,"Seeks peers with deep ML/AI/DS experience across modeling, infrastructure or ops; not interested in students or sales pitches.","Washington, DC, USA","Leader in data platforms for financial services with broad experience across model engineering, AIOps/MLOps and platform teams.",No,"['GenAI', 'Agent Systems', 'Platform Data Engineering', 'Financial ML', 'Team Leadership']",Curinos Analytics,10+ Years of Experience
7Ev6cgQtZbKECX4cphNEXC,1zd9k4,Ivana Petrova,ML Scientist/Researcher,"Interested in connecting with peers who research long-tailed distributions, active learning, or time-series forecasting.","Chicago, USA",Mathematician turned ML researcher with experience in healthcare and insurance analytics; enjoys mentoring and applied research.,No,"['Statistical Modeling', 'Active Learning', 'Time Series Forecasting', 'Computer Vision', 'Python']",Northbridge AI,5 - 10 Years of Experience
b8WpPJy5LXCQrpX9NyCsU6,KadKjg,Aarav Ramesh,ML Engineer,I've got about a year of hands-on experience and I'm eager to broaden my skillset — especially into MLOps and deeper computer vision work. Would appreciate guidance on deployment and monitoring.,"Bengaluru, India",Computer vision engineer with a little over a year of industry experience and growing interest in NLP. Shifting focus from research towards production-focused MLOps. Enjoys community talks and shares occasional creative videos online.,No,"['Computer Vision', 'NLP', 'PyTorch', 'Model Evaluation']",PixelForge,1 - 3 Years of Experience
9omS3tVMZnCESdtpjnToXK,DMd94X,Rhea Anand,ML Engineer,Looking to connect with more senior practitioners to learn what it takes to grow into leadership and manage teams in ML infrastructure.,India (planning move to UK),"Introverted by nature but engaged in close-knit groups. Interested in climate applications of AI with a long-term goal of founding an AI-driven climate startup. Self-taught through courses and projects, with a master's in AI pursued for international opportunities.",No,"['Kubernetes', 'Terraform', 'Edge ML (Jetson, Arduino)', 'Python', 'Cloud Platforms']",CloudMint,3 - 5 Years of Experience
HgsMKC6nhSkH8pUER9WaWx,oYzLe1,Lucas Pereira,ML Engineer,"Interested in buddies working in MLOps or finance-tech, especially those doing document retrieval and information extraction for financial workflows.","Toronto, Canada","Built production ML models and scalable ETL systems that improved engagement and revenue. Experience includes deploying conversational agents, multi-agent stock analysis tools, and SEC filing sentiment pipelines.",No,"['Agentic AI', 'LLMs', 'NLP', 'ETL Pipelines']",,1 - 3 Years of Experience
HCHKd4oagSjPZh5S72BBBA,7MqAE9,Maya Collins,ML Engineer,"Curious about agents, fine-tuning Llama-family models, and SaaS productization for model-driven features.","Edina, MN, USA","Senior data/ML engineer with 5+ years of experience converting data into product improvements. Highlights include integrating GenAI chatbots, optimizing ETL workflows, and improving retention through targeted segmentation.",No,"['Python', 'LLMs', 'AWS', 'GCP', 'ETL', 'Airflow', 'SQL', 'Data Warehousing']",Vexa Labs,3 - 5 Years of Experience
SL3kXbi3EMgzMZyKjzzRaD,Aypade,Camille Lefèvre,Data Engineer,"Open to practical, hands-on people experienced in building MLOps systems. Also curious about strategies for learning new tech confidently.","Paris, France","Passionate about building end-to-end MLOps pipelines, democratizing data, and applying BI to marketing problems. Energetic and curious, enjoys meeting new people and experimenting with tech.",No,"['NLP', 'KPIs & Analytics', 'ETL', 'Data Visualization']",DataMosaic,1 - 3 Years of Experience
CMWr7EgpKWyUDKuoJbncAz,PQRpDe,Ethan Walker,Student,"Would love a buddy with strong, production-grade MLOps experience who can share practical deployment and scaling tips.",United States,"Cloud engineer transitioning into ML/AI with hands-on experience in Kubernetes and AWS. Enjoys automation, building real-world solutions, and learning collaboratively to make technology more accessible.",No,"['Kubernetes', 'Scalable Infrastructure', 'Automation', 'IaC', 'AWS']",AeroTech,Graduate Student
ZBvgwqfawoU4pZoQjJMkGu,E8DWMX,Oliver Reid,Software Engineer,"Anyone interested in multimodal LLMs, computer vision, or prompt engineering — happy to connect across engineering and research topics.",UK (remote),"Engineer who values opportunistic, efficient engineering. Focused on improving writing workflows with AI and exploring OCR, multimodal models, and handling long-context inputs.",No,"['Web Development', 'AWS Platform Engineering', 'Multimodal LLMs', 'OCR', 'Prompt Engineering']",SlateWorks,10+ Years of Experience
9ZXaPhKU4moHftaziWKBos,1gMY84,Marta Costa,ML Engineer,"Would benefit from someone experienced in MLOps, production deployment, and model governance — especially with Snowflake or similar platforms.",Portugal,"Data engineer turned ML-focused practitioner with a record of cost savings and performance tuning. Methodical and results-driven, enjoys bridging data engineering and model operations.",No,"['MLOps', 'Data Engineering', 'Snowflake', 'Model Monitoring', 'MLflow']",BlueRiver,3 - 5 Years of Experience
FSVrL43HeCxvPneFWxjSH6,8Y27y5,Neel Mehra,Founder,Looking to meet domain experts and people building AI-first solutions.,India,Founder focused on AI-driven automation and developer-facing products that embed AI into coding workflows.,No,"['Fullstack Engineering', 'AI Integration', 'Leadership', 'Product Strategy']",Saffron Labs,10+ Years of Experience
4rjeFQRh9pLk2axCqg6GoJ,jkVJLa,Avery Morgan,ML Scientist/Researcher,Interested in a buddy working on MLOps or ML platforms but open to other roles too.,"Denver, CO, USA","Full-stack ML practitioner experienced across data engineering, modeling, and CI/CD for model inference on Kubernetes. Practical and hands-on.",No,"['Recommendation Systems', 'NLP', 'Kubernetes', 'MLOps', 'CI/CD']",InsightForge,3 - 5 Years of Experience
XqUEuqQZ8DXQGjEtWhhHP2,58Ap2o,Priya Nandan,Student,Hopes to find an enthusiastic buddy who loves experimenting with ML and collaborating on projects and learning resources.,India,"Motivated learner with experience in AI/ML, NLP, and data analysis. Enjoys building scalable solutions and is eager to grow through collaboration.",No,"['Python', 'SQL', 'PyTorch', 'TensorFlow', 'NLP', 'Cloud Fundamentals']",,Undergrad / New Grad
UNAHRJapGbJ47GkfsxzXSD,GyNjJp,Lena van Dijk,ML Scientist/Researcher,"Tech-forward, hands-on people who think outside standard patterns are welcome.","Rotterdam, the Netherlands",Apply AI in production with interest in combining ML and privacy-enhancing technologies. Enjoys practical experimentation and open-source projects.,No,"['AI', 'Privacy Enhancing Technologies', 'Model Deployment', 'Research to Production']",Privacore,10+ Years of Experience
eN5gwgFAE6yFb3c45Xbc2B,PGlyox,Samuel Park,ML Scientist/Researcher,"Interested in inference algorithms, small/large LLM efficiency, quantization strategies, and alternative LLM architectures.","San Francisco, CA",Seasoned AI leader with deep experience designing scalable AI systems across modalities and deploying them both in cloud and embedded environments.,No,"['LLM Inference', 'Quantization', 'Model Architectures', 'Systems at Scale']",SoloAI,10+ Years of Experience
RaiHGJTWKpvXoeaDxNkDZs,ejMrJk,Jasper van Rijn,ML Engineer,Enthusiastic about connecting with others who care about open-source MLOps and practical deployment patterns.,"Delft, Netherlands","Former historian turned ML engineer, now focused on making ML practical through open-source tooling. Enjoys a wide range of hobbies while staying committed to building and learning.",No,"['MLOps', 'Open-source Development', 'Pipeline Automation', 'LLM Deployment', 'ZenML']",OpenPipelines,3 - 5 Years of Experience
YoMFdnabu7j3DtV9GWccDg,N8BxQN,Youssef El Amrani,Data Engineer,Happy to chat with anyone in software or data roles — looking to learn practical MLOps patterns and grow technical breadth.,"Casablanca, Morocco","Data engineer working on high-scale platforms in the cloud handling streaming, batch processing, orchestration, and analytics.",No,"['Prefect', 'Google Cloud Platform', 'Spark', 'Streaming']",AtlasStream,1 - 3 Years of Experience
ZFcuJJXttEB8CJappDo7Fg,Y2655W,Maya Thompson,Cloud Architect,,USA,"Focuses on MLOps, cloud infrastructure, and scalable systems. Enjoys outdoor activities like fishing and hiking when not architecting platforms.",No,"['Kubernetes', 'Public Cloud', 'Infrastructure Design']",CloudHarbor,10+ Years of Experience
ivoT8SfdneSNhRaaaL8CFd,K8DVL8,Sana Belkhiri,ML Engineer,"Open to chatting with anyone, technical or not — interested in production ML systems and recent LLM progress.","Rabat, Morocco","ML engineer focused on building production-grade, scalable ML systems and exploring developments in large language models and edge deployments.",No,"['Computer Vision', 'LLMs', 'MLOps', 'Kubernetes', 'Edge AI']",NomadAI,3 - 5 Years of Experience
6hFMLkq9ZsC9WpxtymrkPa,jXe69E,Hannah Li,Data Scientist,Would like to talk to folks with experience working in Taiwan or similar international tech markets to learn about relocation and community dynamics.,"Chicago, IL, USA",Math PhD turned lead ML scientist with experience in healthcare and insurance domains. Background includes computer vision patents and leading cross-functional teams.,No,"['Computer Vision (classification & segmentation)', 'Active Learning', 'Healthcare Data', 'Leadership', 'Transformers']",PraxisHealth,5 - 10 Years of Experience
gdxNw7SBYNZk8ds4eWQPTY,d4Vjjd,Jordan Pierce,Prompt Designer,"Seeks someone who understands LLM internals, prompt patterns, and can discuss system messages and context without heavy jargon. Bonus for AI UX experience.",North America,"Prompt designer at a fintech startup with a finance background, experienced in writing and iterating prompts in no/low-code tooling. Looking to deepen technical understanding and connect with clear communicators.",My Buddy should be in a similar role as me,"['Prompt Design', 'Conversational UX', 'Financial Content Strategy', 'Editing for Clarity', 'Domain-specific Prompting']",FinPrompt,1 - 3 Years of Experience
FkMs5h5N29pq3vUnVsdNVE,vdxEWA,Miles Carter,Data Scientist,"Open to buddies who are freelancers/consultants, senior data scientists, or early-career folks who might benefit from mentorship.","Richmond, VA, USA","Freelance data scientist with a background in physics and 8+ years delivering analytics across FinTech, SaaS, and healthcare. Enjoys practical problem solving and occasional lab anecdotes.",No,"['Data Science', 'Python', 'Statistical Analysis', 'GCP', 'SQL', 'Looker']",Solstice Analytics,5 - 10 Years of Experience
kP3PaHs2uUmrMwXofCTBNW,6zRpRJ,Amina Kole,ML Engineer,Looking for someone experienced in MLOps who can offer mentorship on contributing to open source and on publishing research. Familiarity with transformer models and LLM development would be very helpful.,"Lagos, Nigeria","Engineered and trained deep learning models with an interest in turning research ideas into papers and OSS contributions. Seeking guidance on collaboration, publication workflows, and open-source best practices.",No,"['Deep Learning', 'Machine Learning', 'Transformers', 'LLMs', 'CI/CD', 'MLOps']",NebulaWorks,3 - 5 Years of Experience
GDHuSPqqSSQTMHKWM69QC5,RqgJvK,Ethan Morales,ML Engineer,Prefer a buddy with a broad technical vision who understands hardware-software tradeoffs for low-power inference and RAG-based agent designs.,"Newark, NJ, USA","Business development engineer bridging low-power inference modules with AI agent solutions. Strong background in software engineering, now expanding into product and go-to-market aspects while running extensive RAG experiments and hardware profiling.",My Buddy should be in a similar role as me,"['Graph ML', 'RAG', 'Edge AI', 'AI hardware profiling']",CircuitEdge,1 - 3 Years of Experience
LirHW5xic4auTLH3QAy6uM,JZDggr,Sofia Marques,ML Scientist/Researcher,"Interested in mentors who can advise on MLOps adoption, research coordination, and tooling choices to manage costs and integration into products.","Toronto, Canada",PhD-trained researcher focused on brain–computer interfaces and medical ML; later worked on ML for healthcare and robotics. Introduced MLOps tooling in teams and wants to learn best practices for production integration and cost-aware ML operations.,My Buddy should be in a similar role as me,"['Robotics', 'Imitation Learning', 'Reinforcement Learning', 'Contrastive Methods', 'Neuroscience', 'Vertex AI']",HelixRobotics,10+ Years of Experience
YwqmkqMhzZSG2dDrV4zWvJ,0gYRxP,Oliver Hayes,Data Scientist,Would like a buddy with around three years' experience to help shape career growth and recommend what skills to prioritise next.,"London, UK","Problem-solver using data to inform decisions. Background spans electrical engineering, cybersecurity, consulting, and teaching — comfortable at the intersection of tech and product.",My Buddy should be in a similar role as me,"['Python', 'Scikit-learn', 'General ML', 'Data Analysis']",WattLogic,3 - 5 Years of Experience
BiMdKgST3xEWgpkmePdsi6,JZprG4,Marcus Bellamy,Data Engineer,"Looking for collaborators who want to pursue clients, discuss data drift strategies, or explore technical evangelism and talent partnerships.","New York, USA",Seasoned data engineer and former company lead with a history of DoD and enterprise clients. Transitioned into advising startups and investors; now exploring a return to hands-on technical roles and product work.,No,"['ETL', 'Data at Scale', 'Graph Algorithms', 'Stakeholder Communication', 'Team Leadership']",Atlas Retrieval,10+ Years of Experience
7nkYTMRDyRdYUx2F2xda5Z,DlZlQR,Nora Patel,Data Scientist,"Hoping to connect with senior practitioners who have built and scaled ML systems, mentor others, and can advise on career moves—especially in healthcare, geospatial, or finance.","Washington, DC, USA","Transforms genomics, clinical, and satellite data into scalable ML solutions. Interested in interpretability, efficient models, and building impactful systems. Studying data science at the graduate level and focused on production-ready workflows.",No,"['Python', 'PyTorch', 'TensorFlow', 'Scikit-learn', 'LightGBM', 'SQL', 'SHAP', 'AWS', 'Tableau']",GeoGen Labs,Graduate Student
JRHmgJ5VPFTefRjUx9GBN2,PG72LQ,Rohan Desai,Student,Would like a buddy who is enthusiastic about ML/AI and can offer guidance for starting contributions and projects.,"Pune, Maharashtra, India","Aspiring ML practitioner focused on MLOps and core machine learning. Eager to learn, contribute to open source, and participate in collaborative projects.",No,"['Machine Learning', 'AI', 'Data Science', 'NLP', 'MLOps', 'Open Source Contribution']",Aspire Data Labs,Graduate Student
PjNvPVVY7sQwbwpcDN6Cuy,ydQ8bg,Lukas Vogel,ML Engineer,"Seeking someone experienced in computer vision, IoT, or sensor analytics in the German tech ecosystem; bonus for edge deployments and reinforcement learning exposure.","Berlin, Germany",NLP-focused engineer with experience deploying models and building chatbots. Interested in branching into computer vision and IoT to align with opportunities in manufacturing and automotive.,No,"['NLP', 'Generative AI', 'API Security', 'Chatbots', 'LLMs', 'Model Deployment', 'RAG']",SecureAPI.ai,3 - 5 Years of Experience
GpefDNFxdFkdrifNyStkcB,oQqrLN,Mariana Costa,ML Scientist/Researcher,Interested in conversations about MLOps and leadership of research teams.,"São Paulo, Brazil","Consultant, researcher, and educator with a focus on ML for signal processing and IoT. Passionate about open-source hardware/software and interdisciplinary work spanning science and culture.",No,"['Signal Processing', 'Audio ML', 'IoT', 'Machine Learning']",SignalWorks,10+ Years of Experience
AWRVNs4CCjQqHiEhzeuP6y,G5K68O,Kevin Park,ML Engineer,"Would like peers working on ML-first products (especially computer vision), advanced Kubernetes usage, ML testing frameworks, and configuration management practices.","Denver, CO, USA","Built and deployed computer vision models on edge devices for several years, practiced experiment tracking and reproducible workflows, and now works on ML infrastructure while still engaging with modeling challenges.",No,"['Computer Vision', 'Edge AI', 'Realtime ML', 'Experiment Tracking', 'Hydra', 'ML Platform Engineering', 'HPO']",EdgeVision,5 - 10 Years of Experience
WpBUWQwNQ9pPg3aKAFRUZR,2gOx8D,Amir Rezaei,Data Scientist,"Keen on learning production-grade ML architecture, distributed GPU training/inference, and full-stack AI deployment practices.","Tehran, Iran",Worked through graduate studies on deep learning for audio and vision; focused on building production-grade AI systems and learning necessary ops and engineering disciplines.,No,"['Deep Learning', 'Production ML', 'ASR', 'Image Processing']",ParsAI,3 - 5 Years of Experience
8o6EGM4nNPbeunsZpahWGn,pvbE61,Hannah Lee,Data Scientist,Prefer someone in a similar early-career stage who can share practical advice on model deployment and MLOps basics.,"Ann Arbor, MI, USA",Computer Science student leading a large data science club and working on production-style ML projects. Interested in DevOps and MLOps paths for deploying models at scale.,My Buddy should be in a similar role as me,"['Data Science', 'Deep Learning', 'Transformer Models', 'Model Training', 'LLMs']",Wolverine Analytics,Undergrad / New Grad
KCdhhLWTCVKfbUNA3Nwrgf,ErR6RA,Youssef Benali,ML Engineer,Would appreciate a buddy with experience in biotech deployments and translating models into regulated healthcare workflows.,"Algiers, Algeria",Focused on biotech and healthcare computer vision applications; enjoys hiking and astronomy outside of work. Eager to broaden expertise across ML for biology.,No,"['Healthcare CV', 'Biotech ML', 'Model Evaluation']",BioSight AI,1 - 3 Years of Experience
LJtftXKpd44nGsXcF2oh4p,X2Eb7V,Tiago Pereira,ML Engineer,"Looking for peers working at the intersection of ML, data, and engineering who can share end-to-end problem-solving approaches.","Copenhagen, Denmark","Technologist with international education and experience across consumer electronics, public institutions, consulting, and startups. Focuses on end-to-end ML systems and how tech improves user outcomes.",My Buddy should be in a similar role as me,"['Machine Learning', 'NLP', 'LLMs', 'Software Engineering', 'Infrastructure']",NordicTensor,5 - 10 Years of Experience
i73v9GqckpsEmXyNhenaXX,MlKDL0,Alex Chen,ML Engineer,"Would enjoy chatting with folks experienced in MLOps tooling, model deployment, and observability—especially those who have worked on platform teams.","New York City, USA","Engineer turned ML practitioner with prior experience at a major tech firm. Builds systems that connect data, infrastructure, and product; focuses on clarity and maintainable code.",My Buddy should be in a similar role as me,"['Deep Learning', 'Computer Vision', 'LLMs', 'GPU/CUDA', 'Edge AI', 'Serving/Inference']",Independent,3 - 5 Years of Experience
8kdHzmFKMf987fVt4dWJKx,5pWBBb,Emily Rivera,Data Scientist,Would like a mentor who has built a data science team and can provide realistic advice on team formation and leadership.,"Boston, MA, USA",Data science generalist who bridges technical work and executive communication. Enjoys diverse hobbies and brings a pragmatic approach to model development and stakeholder engagement.,No,"['Graph Neural Networks', 'Link Prediction', 'Community Detection', 'Recommendation Systems']",Harbor Analytics,3 - 5 Years of Experience
TrvVTGhZWEakbCDLsNSf9d,BlokRK,Lars Jensen,Management,"Interested in deep-technology conversations, new business opportunities, and unconventional technical approaches.","Aarhus, Denmark","Leader passionate about deep tech and novel solutions; current focus on NLP and time-series forecasting with past experience across automotive safety, space systems, and formal methods.",No,"['Data Engineering', 'Fault Tolerance', 'Unstructured Data', 'Time Series', 'NLP', 'Technology Management']",DeepOpt,10+ Years of Experience
Z7SwFnFqdbEBEqHzzpxioc,1qGD7O,Ananya Reddy,ML Scientist/Researcher,Would value a full-stack AI researcher/engineer with strong MLOps and LLMOps background to exchange practical tips and workflows.,"Hyderabad, Telangana, India","Self-employed researcher building generative AI projects and learning advanced transformer and multimodal techniques, currently experimenting with sparse MoE architectures.",No,"['Edge AI', 'Transformers', 'Computer Vision', 'Docker']",Freelance Research,1 - 3 Years of Experience
8rqjDgxdzbioBoxE5d3Pog,Qy9qE1,Karthik Srinivasan,Data Scientist,"Looking for a friendly, extroverted peer who can offer practical guidance and be a sounding board for projects and career choices.","Chennai, India",Senior data analyst transitioning toward data science; enjoys cricket and keeping up with new tech. Motivated and collaborative with a focus on impactful work.,My Buddy should be in a similar role as me,"['SQL', 'Python', 'Data Analysis', 'Prompt Engineering']",AptiData,1 - 3 Years of Experience
PGUiGa2snkG8NjWcGg6qoL,Pyq5j0,Vikram Kapoor,CTO,"Interested in peers familiar with RAG systems, LLMs, and data engineering for production legal-tech applications.","Bengaluru, India","Experienced full-stack engineer now focusing on building RAG-powered legal products. Comfortable across front-end, back-end, DevOps, and product leadership; enjoys music and mechanical keyboards.",No,"['Full Stack Engineering', 'RAG', 'LLMs', 'Go', 'Python', 'JavaScript', 'AWS', 'Terraform']",JurisAI Solutions,10+ Years of Experience
kURMWwNnEgNZuVXeUWsCoY,pXDzeV,Rohit Sen,Sales and Marketing,"Early-stage founder mindset, enjoys rapid prototyping and product-led growth. Looking for a partner who thinks entrepreneurially and has hands-on experience building scalable web and AI products.","Bengaluru, India","Product-minded technologist exploring the intersection of finance, sustainability and agentic AI. Motivated by building MVPs quickly and iterating with user feedback.",No,"['Machine Learning', 'Deep Learning', 'TensorFlow', 'PyTorch', 'LangChain', 'FastAPI', 'MERN Stack', 'Cloud Computing', 'Docker', 'Kubernetes', 'SQL', 'Pandas', 'Data Visualization', 'Startup Strategy']",Blueforge Labs,Undergrad / New Grad
GCVWxZtnJU3hsUobftDTi7,AjbPNW,Naima Ochieng,ML Engineer,"Would like a buddy experienced in MLOps, distributed systems, and deploying LLMs at scale. Familiarity with Spark, Kubernetes and production monitoring is a plus.","Nairobi, Kenya","ML engineer with a few years' experience building predictive systems and end-to-end pipelines. Interested in recommender systems, LLMs, and data engineering practices.",My Buddy should be in a similar role as me,"['Predictive Modeling', 'Recommender Systems', 'MLOps Pipelines', 'Data Engineering', 'LLMs in Production', 'Cloud Platforms', 'Model Monitoring']",Gravitas AI,1 - 3 Years of Experience
